,lons,lats,temperature,topo,rural,urban
14275,4.905232161868056,53.58044007365471,14.928131,0.0,0.0,0.0
14276,4.856674949149192,53.582151558941284,14.881256,0.0,0.0,0.0
14277,4.879169584346088,53.57297525245244,14.920319,0.0,0.0,0.0
14278,4.877524601274101,53.55650775286577,14.951569,0.0,0.0,0.0
14279,4.766258437064301,53.63510627145773,14.810944,0.0,0.0,0.0
14280,4.717625267590937,53.63677114269878,14.818756,0.0,0.0,0.0
14281,4.740203149765185,53.62761071991153,14.818756,0.0,0.0,0.0
14282,4.738602018723058,53.61115028161737,14.834381,0.0,0.0,0.0
14283,4.668988470716073,53.63841932230757,14.803131,0.0,0.0,0.0
14284,4.620348081900525,53.640050809459034,14.771881,0.0,0.0,0.0
14285,4.642962565543596,53.63090497789527,14.795319,0.0,0.0,0.0
14286,4.641393412702729,53.614443317669554,14.803131,0.0,0.0,0.0
14287,4.663984498418675,53.60529676780513,14.826569,0.0,0.0,0.0
14288,4.712572326095479,53.60365129873809,14.842194,0.0,0.0,0.0
14289,4.689999515971805,53.61280513718918,14.826569,0.0,0.0,0.0
14290,4.691584659338846,53.62926619022685,14.818756,0.0,0.0,0.0
14291,4.7109811674459445,53.58718607831018,14.850006,0.0,0.0,0.0
14292,4.6624093091972,53.588830936603344,14.834381,0.0,0.0,0.0
14293,4.684977036147445,53.57968367808171,14.850006,0.0,0.0,0.0
14294,4.6833958276811405,53.56321367695833,14.865631,0.0,0.0,0.0
14295,4.705940235010317,53.55406571909742,14.881256,0.0,0.0,0.0
14296,4.754459652472052,53.552406933504486,14.896881,0.0,0.0,0.0
14297,4.731933481849799,53.56156215618731,14.881256,0.0,0.0,0.0
14298,4.733530638312835,53.578031543073,14.865631,0.0,0.0,0.0
14299,4.802975441401246,53.55073151701915,14.912506,0.0,0.0,0.0
14300,4.8514875672369,53.549039470385765,14.943756,0.0,0.0,0.0
14301,4.828997903519561,53.558209193344126,14.912506,0.0,0.0,0.0
14302,4.830626947315052,53.57467732949497,14.889069,0.0,0.0,0.0
14303,4.808114022455314,53.583846388685785,14.865631,0.0,0.0,0.0
14304,4.759549417007109,53.58552456205365,14.857819,0.0,0.0,0.0
14305,4.782080620354744,53.57636275991504,14.873444,0.0,0.0,0.0
14306,4.780467518750055,53.55989399476681,14.889069,0.0,0.0,0.0
14307,4.76115654187339,53.60198916436776,14.842194,0.0,0.0,0.0
14308,4.809737110953443,53.60031036540148,14.842194,0.0,0.0,0.0
14309,4.787200885818016,53.6094787515795,14.834381,0.0,0.0,0.0
14310,4.7888180016093616,53.6259385678817,14.818756,0.0,0.0,0.0
14311,4.849852585141253,53.53256717594149,14.975006,0.0,0.0,0.0
14312,4.801356380453553,53.53425858996888,14.935944,0.0,0.0,0.0
14313,4.823841061436588,53.52509544616659,14.967194,0.0,0.0,0.0
14314,4.822216058135532,53.50861835836043,14.998444,0.0,0.0,0.0
14315,4.752856515261369,53.53593338128976,14.912506,0.0,0.0,0.0
14316,4.704353024770509,53.53759154909909,14.896881,0.0,0.0,0.0
14317,4.726874151553474,53.528442901478655,14.912506,0.0,0.0,0.0
14318,4.7252809565879135,53.51196456368918,14.935944,0.0,0.0,0.0
14319,4.747778841753244,53.50281523560796,14.959381,0.0,0.0,0.0
14320,4.796230011542764,53.50114319493132,14.990631,0.0,0.0,0.0
14321,4.77375032420112,53.51029976416033,14.959381,0.0,0.0,0.0
14322,4.775359424763316,53.52677748070232,14.935944,0.0,0.0,0.0
14323,4.794614964598671,53.4846613151314,15.021881,0.0,0.0,0.0
14324,4.746179679446264,53.486332730979726,14.982819,0.0,0.0,0.0
14325,4.768654361964446,53.47718273196356,15.014069,0.0,0.0,0.0
14326,4.767049249278774,53.46069606169818,15.045319,0.0,0.0,0.0
14327,4.571704136069137,53.64166560341257,14.725006,0.0,0.0,0.0
14328,4.523056668780333,53.64326370333559,14.678131,0.0,0.0,0.0
14329,4.5457077083219,53.63413250248146,14.701569,0.0,0.0,0.0
14330,4.5441705450828005,53.61766964991385,14.709381,0.0,0.0,0.0
14331,4.474405714943634,53.644845108514716,14.631256,0.0,0.0,0.0
14332,4.4257513101694155,53.646409818105646,14.568756,0.0,0.0,0.0
14333,4.4484388594546544,53.63729328749994,14.600006,0.0,0.0,0.0
14334,4.446933696959585,53.620829272096856,14.607819,0.0,0.0,0.0
14335,4.469597771200226,53.611711975292,14.639069,0.0,0.0,0.0
